Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,8374,8224,3,579.4786645092119,1.414800004567951,10698.833500006003,9658.414019584428,13.979299080188506,13.728893675121837,3,3,3,3,4,7400,11000,11000,11000,11000,11000
POST,/api/customer/owners,2091,2024,3,394.49313357255846,1.4869000006001443,10581.65719997487,56.49928263988522,3.4906513466293485,3.3788035990329037,3,3,3,3,3,10,11000,11000,11000,11000,11000
GET,/api/customer/owners/1,135,132,3,533.7653933327938,1.644300005864352,10583.488900010707,150.33333333333334,0.225364864560001,0.22035675645866762,3,3,3,3,3,8400,11000,11000,11000,11000,11000
GET,/api/customer/owners/10,125,123,3,475.28595360089093,1.6762000159360468,10553.949900000589,152.288,0.20867117088888978,0.20533243215466757,3,3,3,3,4,190,11000,11000,11000,11000,11000
GET,/api/customer/owners/11,135,127,3,443.29678296365915,1.6539000207558274,10552.343800023664,147.92592592592592,0.225364864560001,0.21200990962311203,3,3,3,3,4,4700,11000,11000,11000,11000,11000
GET,/api/customer/owners/12,139,135,3,143.16319784136127,1.721500011626631,10555.982299993047,148.9928057553957,0.23204234202844545,0.225364864560001,3,3,3,3,4,5,230,8700,11000,11000,11000
GET,/api/customer/owners/13,117,115,2,382.07567179263134,1.6191999893635511,10560.095900000306,149.4017094017094,0.19531621595200085,0.1919774772177786,2,3,3,3,3,6,11000,11000,11000,11000,11000
GET,/api/customer/owners/14,117,116,3,411.62671111414653,1.5261000080499798,10566.53500001994,149.7008547008547,0.19531621595200085,0.19364684658488973,3,3,3,3,3,6,11000,11000,11000,11000,11000
GET,/api/customer/owners/15,131,128,3,725.3276610687883,1.7385000246576965,10586.68479998596,149.19847328244273,0.2186873870915565,0.21367927899022315,3,3,3,3,4,11000,11000,11000,11000,11000,11000
GET,/api/customer/owners/16,124,121,3,646.9991629039155,1.67420000070706,10558.669899997767,149.15322580645162,0.2070018015217787,0.20199369342044532,3,3,3,3,4,9400,11000,11000,11000,11000,11000
GET,/api/customer/owners/17,144,140,3,641.9854333338056,1.5654999879188836,10568.060599995079,149.02777777777777,0.24038918886400104,0.23371171139555658,3,3,3,3,4,9100,11000,11000,11000,11000,11000
GET,/api/customer/owners/18,113,105,3,512.1384938062062,1.7103999853134155,10553.555099992082,147.52212389380531,0.18863873848355636,0.17528378354666743,3,3,3,3,4,6100,10000,11000,11000,11000,11000
GET,/api/customer/owners/19,121,118,3,177.08644710725542,1.632900006370619,10560.041899996577,149.13223140495867,0.20199369342044532,0.19698558531911198,3,3,3,3,3,4,5,11000,11000,11000,11000
GET,/api/customer/owners/2,110,106,3,646.347696364815,1.7094000068027526,10558.35420000949,151.36363636363637,0.18363063038222302,0.17695315291377856,3,3,3,3,6,11000,11000,11000,11000,11000,11000
GET,/api/customer/owners/20,123,118,3,526.0989300824316,1.5727999852970243,10558.531499991659,148.739837398374,0.20533243215466757,0.19698558531911198,3,3,3,3,3,5600,11000,11000,11000,11000,11000
GET,/api/customer/owners/21,127,120,3,583.7833921268755,1.794499985408038,10560.272399976384,148.29133858267716,0.21200990962311203,0.2003243240533342,3,3,3,3,4,5700,11000,11000,11000,11000,11000
GET,/api/customer/owners/22,127,124,3,462.58683070837424,1.576699985889718,10563.326500006951,149.26771653543307,0.21200990962311203,0.2070018015217787,3,3,3,3,4,80,11000,11000,11000,11000,11000
GET,/api/customer/owners/23,119,117,3,269.0523285712233,1.6297999827656895,10560.76620001113,149.47899159663865,0.19865495468622307,0.19531621595200085,3,3,3,3,4,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/24,138,131,3,548.9478173907812,1.5859999984968454,10554.062699986389,148.42753623188406,0.23037297266133433,0.2186873870915565,3,3,3,3,3,6100,11000,11000,11000,11000,11000
GET,/api/customer/owners/25,119,118,3,582.581596637581,1.7441000090911984,10582.846499979496,149.73949579831933,0.19865495468622307,0.19698558531911198,3,3,3,3,4,11000,11000,11000,11000,11000,11000
GET,/api/customer/owners/26,138,134,3,272.8072507249991,1.5443000011146069,10547.407600010047,149.1014492753623,0.23037297266133433,0.22369549519288986,3,3,3,3,3,4,11000,11000,11000,11000,11000
GET,/api/customer/owners/27,135,129,3,653.2606807410183,1.5149999817367643,10590.199600002961,148.62222222222223,0.225364864560001,0.21534864835733428,3,3,3,3,5,10000,11000,11000,11000,11000,11000
GET,/api/customer/owners/28,131,124,3,471.6245770996049,1.6081000212579966,10555.761800002074,148.34351145038167,0.2186873870915565,0.2070018015217787,3,3,3,3,4,310,11000,11000,11000,11000,11000
GET,/api/customer/owners/29,138,134,3,263.93975724699817,1.7011999734677374,10558.17579998984,149.1014492753623,0.23037297266133433,0.22369549519288986,3,3,3,3,3,4,8600,11000,11000,11000,11000
GET,/api/customer/owners/3,115,114,3,278.77225826099595,1.6361000016331673,10569.123499997659,150.23478260869564,0.1919774772177786,0.19030810785066749,3,3,3,3,3,4,11000,11000,11000,11000,11000
GET,/api/customer/owners/30,112,107,3,532.9825419635848,1.743199973134324,10584.890599973733,148.61607142857142,0.18696936911644527,0.17862252228088968,3,3,3,3,4,6400,11000,11000,11000,11000,11000
GET,/api/customer/owners/31,116,109,3,732.5341750000572,1.6472999996040016,10583.421200019075,148.1293103448276,0.19364684658488973,0.1819612610151119,3,3,3,3,5,11000,11000,11000,11000,11000,11000
GET,/api/customer/owners/32,137,132,3,550.4994364954568,1.7299000173807144,10556.414399994537,148.86861313868613,0.2287036032942232,0.22035675645866762,3,3,3,3,4,6100,11000,11000,11000,11000,11000
GET,/api/customer/owners/33,125,121,3,425.70917920186184,1.5325999993365258,10567.078200023388,149.008,0.20867117088888978,0.20199369342044532,3,3,3,3,3,11,11000,11000,11000,11000,11000
GET,/api/customer/owners/34,125,121,3,204.28178479988128,1.5872999792918563,10557.240900001489,149.008,0.20867117088888978,0.20199369342044532,3,3,3,3,4,6,4000,11000,11000,11000,11000
GET,/api/customer/owners/35,120,113,3,928.0250533338403,1.6083999944385141,10589.90290001384,148.19166666666666,0.2003243240533342,0.18863873848355636,3,3,3,3,110,11000,11000,11000,11000,11000,11000
