Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760990113,130,GET,/api/customer/owners/50,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,2,10547.674600005848,10547.641099998145,10547.607599990442,10547.674600005848,150.0
1760990113,130,GET,/api/vet/vets,2.200000,0.000000,10,11,11,11,12,13,14,14,14,14,14,31,0,10,10.346503226056454,4.250400001183152,25.177699979394674,653.0
1760990113,130,,Aggregated,2.200000,0.000000,12,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,49,18,12,3883.177181632182,4.250400001183152,10558.95789997885,463.6938775510204
1760990114,140,GET,/api/customer/owners,0.000000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,14,14,10558.95789997885,10553.792978574555,10547.253900003852,10558.95789997885,147.0
1760990114,140,POST,/api/customer/owners,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,2,10552.474500000244,10549.968549996265,10547.462599992286,10552.474500000244,54.0
1760990114,140,GET,/api/customer/owners/23,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,10555.567700008396,10555.567700008396,10555.567700008396,10555.567700008396,150.0
1760990114,140,GET,/api/customer/owners/24,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,10554.384799994295,10554.384799994295,10554.384799994295,10554.384799994295,150.0
1760990114,140,GET,/api/customer/owners/25,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,10554.094699997222,10554.094699997222,10554.094699997222,10554.094699997222,150.0
1760990114,140,GET,/api/customer/owners/26,0.000000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,2,2,10556.19599999045,10554.097499989439,10551.998999988427,10556.19599999045,150.0
1760990114,140,GET,/api/customer/owners/27,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,10554.256300005363,10554.256300005363,10554.256300005363,10554.256300005363,150.0
1760990114,140,GET,/api/customer/owners/31,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,10554.178899998078,10554.178899998078,10554.178899998078,10554.178899998078,150.0
1760990114,140,GET,/api/customer/owners/39,0.000000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,2,2,10553.983099991456,10551.475749991369,10548.968399991281,10553.983099991456,150.0
1760990114,140,GET,/api/customer/owners/41,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,10554.145999980392,10554.145999980392,10554.145999980392,10554.145999980392,150.0
1760990114,140,GET,/api/customer/owners/50,0.000000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,2,2,10547.674600005848,10547.641099998145,10547.607599990442,10547.674600005848,150.0
1760990114,140,GET,/api/vet/vets,2.100000,0.000000,9,11,11,11,12,13,14,14,14,14,14,37,0,10,9.722705405815882,4.250400001183152,25.177699979394674,653.0
1760990114,140,,Aggregated,2.100000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,65,28,13,4551.474399999895,4.250400001183152,10558.95789997885,432.7230769230769
1760990115,150,GET,/api/customer/owners,0.500000,0.500000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,17,17,10568.39190001483,10555.435435296899,10547.253900003852,10568.39190001483,147.0
1760990115,150,POST,/api/customer/owners,0.000000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,5,5,10566.768499993486,10556.502559996443,10547.462599992286,10566.768499993486,54.0
1760990115,150,GET,/api/customer/owners/23,0.000000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,1,1,10555.567700008396,10555.567700008396,10555.567700008396,10555.567700008396,150.0
1760990115,150,GET,/api/customer/owners/24,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,10554.384799994295,10554.384799994295,10554.384799994295,10554.384799994295,150.0
1760990115,150,GET,/api/customer/owners/25,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,10554.094699997222,10554.094699997222,10554.094699997222,10554.094699997222,150.0
