Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,19153,19029,2,285.178906589082,1.409599994076416,10596.315899980254,3716.5270192659113,32.039684343979495,31.832253609439036,2,3,3,3,3,4,11000,11000,11000,11000,11000
POST,/api/customer/owners,4861,4813,2,251.50885200575203,1.4285999932326376,10596.526400011498,54.7702118905575,8.13161935968696,8.051323591477749,2,3,3,3,3,4,11000,11000,11000,11000,11000
GET,/api/customer/owners/1,306,306,2,244.21091666633455,1.4509000175166875,10578.938299993752,149.0,0.5118855223337193,0.5118855223337193,2,3,3,3,3,4,11000,11000,11000,11000,11000
GET,/api/customer/owners/10,282,281,2,332.75239326376453,1.5088999934960157,10596.334500005469,150.50709219858157,0.47173763822911385,0.4700648097247553,2,3,3,3,3,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/11,295,290,2,267.09576779641054,1.4857999922242016,10579.658699978609,149.40677966101694,0.49348440878577515,0.48512026626398236,2,3,3,3,3,4,9500,11000,11000,11000,11000
GET,/api/customer/owners/12,277,274,3,319.0645779797594,1.5601000050082803,10581.059999996796,149.62093862815885,0.46337349570732106,0.4583550101942454,3,3,3,3,4,6,11000,11000,11000,11000,11000
GET,/api/customer/owners/13,266,259,2,191.21098984919115,1.5011999930720776,10573.704199981876,149.07894736842104,0.4449723821593769,0.433262582628867,2,3,3,3,3,5,4500,11000,11000,11000,11000
GET,/api/customer/owners/14,320,316,3,356.0897340622432,1.4971000200603157,10596.031199995195,149.5625,0.5353051213947392,0.5286138073773049,3,3,3,3,3,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/15,291,288,3,256.90988281770143,1.4931000187061727,10581.296999996994,149.63917525773195,0.48679309476834093,0.4817746092552652,3,3,3,3,4,4,11000,11000,11000,11000,11000
GET,/api/customer/owners/16,290,288,2,353.1575596549123,1.6057000029832125,10591.184399992926,149.75862068965517,0.48512026626398236,0.4817746092552652,2,3,3,3,3,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/17,288,286,2,259.37828784713525,1.506200002040714,10580.206300015561,149.75694444444446,0.4817746092552652,0.47842895224654813,2,3,3,3,3,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/18,271,269,2,290.72131107080594,1.5183000068645924,10564.232899982017,149.74169741697418,0.4533365246811697,0.4499908676724526,2,3,3,3,3,4,11000,11000,11000,11000,11000
GET,/api/customer/owners/19,280,277,3,191.33751678642253,1.4770999841857702,10573.223099985626,149.625,0.46839198122039677,0.46337349570732106,3,3,3,3,4,4,41,11000,11000,11000,11000
GET,/api/customer/owners/2,261,255,2,205.59183563120482,1.4467000146396458,10580.526700010523,150.49425287356323,0.4366082396375841,0.42657126861143274,2,3,3,3,4,4,87,11000,11000,11000,11000
GET,/api/customer/owners/20,308,307,2,139.7354227263751,1.4538000104948878,10555.875999998534,149.89935064935065,0.5152311793424365,0.5135583508380779,2,3,3,3,3,4,6,11000,11000,11000,11000
GET,/api/customer/owners/21,277,273,2,93.81217581248549,1.488000008976087,10568.097000010312,149.5523465703971,0.46337349570732106,0.45668218168988683,2,3,3,3,3,4,7,4000,11000,11000,11000
GET,/api/customer/owners/22,306,304,2,167.98102222169976,1.4959000109229237,10556.469100003596,149.79738562091504,0.5118855223337193,0.5085398653250022,2,3,3,3,3,4,10,11000,11000,11000,11000
GET,/api/customer/owners/23,287,284,2,174.53670034830813,1.4561999996658415,10586.398300016299,149.67595818815332,0.48010178075090665,0.475083295237831,2,3,3,3,3,4,10,11000,11000,11000,11000
GET,/api/customer/owners/24,303,299,2,120.98941518218186,1.4782999933231622,10571.445699984906,149.59075907590758,0.5068670368206436,0.5001757228032094,2,3,3,3,3,4,7,4100,11000,11000,11000
GET,/api/customer/owners/25,273,272,2,195.86444175991932,1.5312999894376844,10563.048999989405,149.8864468864469,0.45668218168988683,0.45500935318552826,2,3,3,3,3,4,10,11000,11000,11000,11000
GET,/api/customer/owners/26,292,288,2,338.6041489741741,1.5060000005178154,10586.087799980305,149.57534246575344,0.48846592327269944,0.4817746092552652,2,3,3,3,3,4,11000,11000,11000,11000,11000
GET,/api/customer/owners/27,279,279,2,191.78111111216572,1.4820999931544065,10573.860800010152,150.0,0.4667191527160382,0.4667191527160382,2,3,3,3,3,4,7,11000,11000,11000,11000
GET,/api/customer/owners/28,302,300,2,364.04884536326585,1.504399988334626,10584.606599994004,149.79470198675497,0.505194208316285,0.501848551307568,2,3,3,3,3,6,11000,11000,11000,11000,11000
GET,/api/customer/owners/29,247,245,2,172.566335627089,1.451199990697205,10560.728800017387,149.748987854251,0.4131886405765643,0.40984298356784715,2,3,3,3,3,4,10,11000,11000,11000,11000
